date_time,b_code,usage,peak
201901061230,SGBD,390.96,1563.84
201901061245,SGBD,390.42,1561.68
201901061300,SGBD,397.98,1591.92
201901061315,SGBD,410.4,1641.6
201901061330,SGBD,398.88,1595.52
201901061345,SGBD,395.82,1583.28
201901061400,SGBD,396.36,1585.44
201901061415,SGBD,394.02,1576.08
201901061430,SGBD,393.3,1573.2
201901061445,SGBD,394.74,1578.96
201901061500,SGBD,393.84,1575.36
201901061515,SGBD,399.6,1598.4
201901061530,SGBD,402.84,1611.36
201901061545,SGBD,396.9,1587.6
201901061600,SGBD,394.74,1578.96
201901061615,SGBD,399.78,1599.12
201901061630,SGBD,393.3,1573.2
201901061645,SGBD,388.62,1554.48
201901061700,SGBD,393.3,1573.2
201901061715,SGBD,385.74,1542.96
201901061730,SGBD,386.1,1544.4
201901061745,SGBD,377.28,1509.12
201901061800,SGBD,375.84,1503.36
201901061815,SGBD,377.1,1508.4
201901061830,SGBD,366.3,1465.2
201901061845,SGBD,360.9,1443.6
201901061900,SGBD,354.42,1417.68
201901061915,SGBD,346.68,1386.72
201901061930,SGBD,340.74,1362.96
201901061945,SGBD,338.58,1354.32
201901062000,SGBD,333,1332
201901062015,SGBD,333,1332
201901062030,SGBD,333.36,1333.44
201901062045,SGBD,334.44,1337.76
201901062100,SGBD,314.46,1257.84
201901062115,SGBD,311.58,1246.32
201901062130,SGBD,300.42,1201.68
201901062145,SGBD,296.28,1185.12
201901062200,SGBD,288.72,1154.88
201901062215,SGBD,290.7,1162.8
201901062230,SGBD,284.04,1136.16
201901062245,SGBD,281.52,1126.08
201901062300,SGBD,282.6,1130.4
201901062315,SGBD,280.26,1121.04
201901062330,SGBD,278.28,1113.12
201901062345,SGBD,279.72,1118.88
201901070000,SGBD,280.26,1121.04
201901070015,SGBD,277.92,1111.68
201901070030,SGBD,279.9,1119.6
201901070045,SGBD,278.46,1113.84
201901070100,SGBD,281.52,1126.08
201901070115,SGBD,280.62,1122.48
201901070130,SGBD,279.36,1117.44
201901070145,SGBD,275.04,1100.16
